store_name,address,state,county,lat,lng,service_level
GPS - Guadalupe Pregnancy Services,"1168 San Gabriel Blvd, #E-F
Rosemead, CA 91770",California,Los Angeles,34.0432,-118.086,1
CHOICES Women's Resource Center,"3560 W Temple Ave, Ste H
Pomona, CA 91768",California,Los Angeles,34.0486,-117.811,2
My Choice Medical Center- Los Angeles,4903 W Pico Blvd,California,Los Angeles,34.0511,-118.3645,4
Options - A Women's Care Center,"1840 N Hacienda Blvd, Unit 13
La Puente, CA 91744",California,Los Angeles,34.0512,-117.943,1
Her Smart Choice,2226 East Cesar E Chavez Avenue,California,Los Angeles,34.0534,-118.2235,4
Alliance Women's Medical Group,1930 Wilshire Blvd,California,Los Angeles,34.057,-118.274,4
Birthright of Socorro,"203 Manzaneres Ave, #16
Socorro, NM 87801",New Mexico,Socorro,34.0578,-106.89,1
Los Angeles Pregnancy Services,"2524 W 7th St
Los Angeles, CA 90057",California,Los Angeles,34.0586,-118.282,2
First Source For Women,"203 Commercial St Hanceville, AL 35077",Alabama,Cullman,34.059,-86.7716,2
FPA Women's Health- Los Angeles (Downtown),601 S Westmoreland Ave,California,Los Angeles,34.0617,-118.2892,4
FPA Women's Health- San Bernardino,855 E Hospitality Ln,California,San Bernardino,34.0666,-117.2693,4
San Bernadino Pregnancy & Family Resource Center,"114 E Airport Dr, Ste 105
San Bernardino, CA 92408",California,San Bernardino,34.0675,-117.286,2
Planned Parenthood- San Bernardino Health Center,1873 Commercenter W,California,San Bernardino,34.0679,-117.2853,4
Planned Parenthood- El Monte Health Center,4786 Peck Rd,California,Los Angeles,34.0683,-118.0286,4
Pro-Choice Medical Center: Dr. Josepha Seletz,99 N La Cienega Blvd,California,Los Angeles,34.0699,-118.3764,4
Planned Parenthood- Pomona Health Center,1550 N Garey Ave,California,Los Angeles,34.0735,-117.7521,4
Cobb Pregnancy Resource Center,"5655 Lake Acworth Dr, Ste 240
Acworth, GA 30101",Georgia,Cobb,34.0766,-84.6673,1
FPA Women's Health- Pomona,1996 Indian Hill Blvd,California,Los Angeles,34.0793,-117.7192,4
Options Medical Clinic,"295 Molly Ln, Ste 110
Woodstock, GA 30189",Georgia,Cherokee,34.0835,-84.5403,2
Avenues Pregnancy Clinic of Southern California,"862 N Vermont
Los Angeles, CA 90029",California,Los Angeles,34.0871,-118.292,2
Planned Parenthood- Hollywood Health Center,1014 N Vermont Ave,California,Los Angeles,34.09,-118.2916,4
Planned Parenthood- Alhambra Health Center,330 S Garfield Ave,California,Los Angeles,34.0916,-118.124,4
The Pregnancy Help Center of San Gabriel Valley,"902-904 E Main St
Alhambra, CA 91801",California,Los Angeles,34.0994,-118.117,2
Assure Pregnancy Clinic,"17057 Foothill Blvd, Ste 204
Fontana, CA 92335",California,San Bernardino,34.1059,-117.433,2
Pregnancy Resource Center for Southwest Arkansas,"702 Carpenter St Arkadelphia, AR 71923",Arkansas,Clark,34.1172,-93.0552,2
High Desert Pregnancy Clinic,"56669 Twentynine Palms Hwy, Ste D Yucca Valley, CA 92284",California,Riverside,34.1201,-116.428,2
Women's First Choice,51 N 5th Ave,California,Los Angeles,34.1247,-118.0527,4
Planned Parenthood- Glendora Health Center,130 W Rte 66,California,Los Angeles,34.1289,-117.8633,4
Living Hope Centers,"109 N C St Springerville, AZ 85938",Arizona,Apache,34.1343,-109.262,2
Foothills Pregnancy Resource Center,"924 Buena Vista St, Ste 202
Duarte, CA 91010",California,Los Angeles,34.1418,-117.977,2
Lake Havasu Pregnancy Care,"601 W Riverside Dr, Ste 12 Parker, AZ 85344",Arizona,La Paz,34.1515,-114.285,1
Obria Medical Clinics - Pasadena,"445 N Lake Ave
Pasadena, CA 91101",California,Los Angeles,34.1537,-118.133,2
The Center,"2300 Pease St
Vernon, TX 76384",Texas,Wilbarger,34.1538,-99.2902,2
FPA Women's Health- Glendale,372 Arden Ave,California,Los Angeles,34.1584,-118.2604,4
Planned Parenthood- Pasadena Health Center,1045 N Lake Ave,California,Los Angeles,34.161,-118.1325,4
Bartow Family Resources,"200 Leake St, Ste 107 Cartersville, GA 30120",Georgia,Bartow,34.1621,-84.8004,2
BFR Medical,"10 Luckie St
Cartersville, GA 30120",Georgia,Bartow,34.1622,-84.8002,2
Avenues Pregnancy Clinic of Southern California,"1911 W Glenoaks Blvd
Glendale, CA 91201",California,Los Angeles,34.1745,-118.294,2
Pregnancy Resource Center Eastern New Mexico,"1412 S Ave O, Ste A
Portales, NM 88130",New Mexico,Roosevelt,34.1757,-103.353,2
Ohana Health,"80 E Hillcrest Dr, Ste 130
Thousand Oaks, CA 91360",California,Ventura,34.1808,-118.875,2
Planned Parenthood- Burbank Health Center,916 W Burbank Blvd,California,Los Angeles,34.184,-118.3221,4
Planned Parenthood- Thousand Oaks Center,1200 W Hillcrest Dr,California,Ventura,34.1865,-118.9283,4
A Choice to Make Pregnancy Resource Center,"516 S Coit St
Florence, SC 29501",South Carolina,Florence,34.189,-79.7695,2
Hope of the Delta,"3905 S Hazel St Pine Bluff, AR 71603",Arkansas,Jefferson,34.1902,-92.024,2
Compassionate Care Pregnancy Center,"1209 Quincy St
Plainview, TX 79072",Texas,Hale,34.1938,-101.725,2
FPA Women's Health- Canoga Park,7023 Owensmouth Ave,California,Los Angeles,34.1979,-118.6017,4
Planned Parenthood- Van Nuys Health Center,7100 Van Nuys Blvd,California,Los Angeles,34.1995,-118.4487,4
Living Hope Centers,"5300 S Sutter Dr, Ste 12 Show Low, AZ 85901",Arizona,Navajo,34.2006,-110.022,2
Planned Parenthood- Canoga Park Health Center,21001 Sherman Way,California,Los Angeles,34.2012,-118.5908,4
CrossRoads Pregnancy Center,"428 Grace St
Greenwood, SC 29649",South Carolina,Greenwood,34.2015,-82.1605,2
My Choice Medical- Van Nuys,7232 Van Nuys Blvd,California,Los Angeles,34.2018,-118.4487,4
Hope Pregnancy Resource Center,"1747 N Elm St
Commerce, GA 30529",Georgia,Jackson,34.2035,-83.4578,2
Cumming Women's Center,"133 Samaritan Dr, Ste 306
Cumming, GA 30040",Georgia,Forsyth,34.2084,-84.1471,2
Planned Parenthood- Wilmington Health Center***,1925 Tradd Court,North Carolina,New Hanover,34.209,-77.9273,4
Choices Pregnancy Care Center,"3458 Winder Hwy, Ste 120
Flowery Branch, GA 30542",Georgia,Hall,34.2174,-83.8622,2
Women's Hope Center,"200 Old Rd
Lyon, MS 38645",Mississippi,Coahoma,34.218,-90.5433,1
FPA Women's Health- Oxnard,1700 Lombard St,California,Ventura,34.2187,-119.1492,4
Life Line Pregnancy Center,"4522 Fountain Dr
Wilmington, NC 28403",North Carolina,New Hanover,34.2225,-77.885,2
New Beginnings,"111 E Frontier St Payson, AZ 85541",Arizona,Gila,34.2317,-111.323,1
Open Arms Pregnancy Clinic,"9535 Reseda Blvd, Ste 303
Northridge, CA 91324",California,Los Angeles,34.2431,-118.537,2
Mountain Pregnancy Center,"461 S Dart Canyon Rd
Crestline, CA 92325",California,San Bernardino,34.2447,-117.258,2
Banah Pregnancy Testing Center,"329 W Oxford St
Pontotoc, MS 38863",Mississippi,Pontotoc,34.2503,-89.0192,2
Parkgate Pregnancy Clinic,"150 S Industrial Rd
Tupelo, MS 38801",Mississippi,Lee,34.2536,-88.7203,2
FPA Women's Health- Mission Hills,10200 Sepulveda Blvd,California,Los Angeles,34.2556,-118.4672,4
Pregnancy Counseling Center,"10211 Sepulveda Blvd
Mission Hills, CA 91345",California,Santa Barbara,34.2558,-118.468,2
New Life Pregnancy Center,"700 N Central Ave Show Low, AZ 85901",Arizona,Navajo,34.2562,-110.043,2
Ventura County Pregnancy Center,"1732 Palma Dr, #103
Ventura, CA 93003",California,Ventura,34.257,-119.227,1
Life Centers of Ventura County,"4601 Telephone Rd, Ste 107
Ventura, CA 93003",California,Ventura,34.2579,-119.236,2
Planned Parenthood- Ventura Health Center,5400 Ralston St,California,Ventura,34.2595,-119.2179,4
Community Pregnancy Clinic,"2045 Royal Ave, Ste 208 Simi Valley, CA 93065",California,Ventura,34.2616,-118.758,2
Real Life Pregnancy Center,"104 W Alabama Ave, Ste F Albertville, AL 35950",Alabama,Marshall,34.2656,-86.2103,2
Lifebridge,"1510 Main St
Newberry, SC 29108",South Carolina,Newberry,34.2752,-81.6168,2
Haven Health Clinic for Women,"311 Redmond Rd
Rome, GA 30161",Georgia,Floyd,34.2774,-85.1897,2
Choices Pregnancy Care Center,"434 Green St Pl
Gainesville, GA 30501",Georgia,Hall,34.3047,-83.8245,2
Sav-A-Life Batesville,"109 Van Voris St Batesville, MS 38606",Mississippi,Panola,34.3154,-89.9543,1
Living Hope Pregnancy Support Services,"116 Premiere Plaza
Whiteville, NC 28472",North Carolina,Columbus,34.3361,-78.7096,2
Real Life Pregnancy Center,"1939 Patterson St, Ste 101 Guntersville, AL 35976",Alabama,Marshall,34.339,-86.3139,2
Hart Life,"317 W Franklin St
Hartwell, GA 30643",Georgia,Hart,34.3538,-82.9349,2
Breath of Life Pregnancy Resource Center,"1015 E Page Ave 
Malvern, AR 72104",Arkansas,Hot Spring,34.3627,-92.7992,2
"Franklin Life Pregnancy Resource Center, Inc.","7747 Royston Rd
Carnesville, GA 30521",Georgia,Franklin,34.3656,-83.2302,1
North Georgia Pregnancy Services Center,"42 E Grant Rd
Dawsonville, GA 30534",Georgia,Dawson,34.3858,-84.0225,2
Pregnancy Center of Oxford,"295 County Rd 101
Oxford, MS 38655",Mississippi,Lafayette,34.3925,-89.5095,2
Pregnancy Resource Center Eastern New Mexico,"621 N Main St
Clovis, NM 88101",New Mexico,Curry,34.4044,-103.205,2
The Pregnancy Center of Dillon County,"310 E Washington St
Dillon, SC 29536",South Carolina,Dillon,34.4181,-79.3674,2
Planned Parenthood- Santa Barbara Health Center,518 Garden St,California,Santa Barbara,34.4209,-119.6922,4
Network Medical Women's Center,"185-C S Patterson Ave
Santa Barbara, CA 93111",California,Santa Barbara,34.4357,-119.81,2
Sav-A-Life Women’s Care Center,"107 4th St SW 
Fort Payne, AL 35967",Alabama,Dekalb,34.4391,-85.7254,2
SCV Pregnancy Center,"25174 Rye Canyon Rd
Santa Clara , CA 91355",California,Orange,34.4411,-118.575,2
Life Choices Pregnancy Clinic of Ojai Valley,"1320 Maricopa Hwy, Ste C
Ojai, CA 93023",California,Ventura,34.4429,-119.265,2
The Pregnancy Center,"7 Caring Way
Jasper, GA 30143",Georgia,Pickens,34.4568,-84.4108,1
Pregnancy Resource Center of Chattooga County,"142 Economy St
Summerville, GA 30747",Georgia,Chattooga,34.478,-85.3489,2
"Calhoun Pregnancy Center, Inc.","200 E Belmont Dr
Calhoun, GA 30701",Georgia,Gordon,34.4807,-84.9296,1
Lake Havasu Pregnancy Care,"500 N Lake Havasu Ave, Ste B104 Lake Havasu City, AZ 86403",Arizona,Mohave,34.4898,-114.348,1
ChangePoint Pregnancy Care and Parenting Resource Center,"201 Nickels St 
Hot Springs, AR 71901",Arkansas,Garland,34.5002,-93.0403,2
First Choice Center for Women,"723 Coulter Dr
New Albany , MS 38652",Mississippi,Union,34.5025,-89.0296,2
Planned Parenthood- Victorville Health Center,15403 Park Ave E,California,San Bernardino,34.5063,-117.3264,4
Habersham Life Crisis Pregnancy Center,"215 Hodges St, Ste 101
Cornelia, GA 30531",Georgia,Habersham,34.5114,-83.5295,2
Hope Pregnancy Center,"921 N Washington
Ardmore, OK 73401",Oklahoma,Carter,34.5117,-97.9581,2
Anderson Pregnancy Care,"1303 N Murray Ave
Anderson, SC 29625",South Carolina,Anderson,34.5141,-82.6552,2
Rose of Sharon Pregnancy Resource Center,"14725 7th St, #600
Victorville, CA 92395",California,San Bernardino,34.5175,-117.311,1
Charis Center,"1700 W Jones Ave
Duncan, OK 73533",Oklahoma,Stephens,34.5198,-97.9695,2
Hope of the Delta,"2007 N Buerkle St
Stuttgart, AR 72160",Arkansas,Arkansas,34.5228,-91.5579,2
North Georgia Pregnancy Services Center,"385 N Grove St, Ste C Dahlonega, GA 30533",Georgia,Lumpkin,34.5384,-83.9875,2
Community Pregnancy Center,"1124 E Gurley St Prescott, AZ 86301",Arizona,Yavapai,34.5438,-112.455,2
Toccoa Life Pregnancy Resource Center,"4444 Georgia 17
Estanollee, GA 30538",Georgia,Stephens,34.5454,-83.2741,2
Hope Women's Center,"77 General Cook Trail Camp Verde, AZ 86322",Arizona,Yavapai,34.558,-111.856,1
New Beginnings Pregnancy Center,"120 S Conrad St Benton, AR 72015",Arkansas,Saline,34.5632,-92.5978,2
Sav-A-Life Pregnancy Resource Center,"801 Bradley St SW Decatur, AL 35601",Alabama,Decatur,34.5708,-86.9979,2
Women's Clinic of the Antelope Valley,"1334 E Palmdale Blvd, Ste E
Palmdale, CA 93550",California,Los Angeles,34.5792,-118.104,2
Fresh Start Pregnancy Resource Center,"306 9th St Mena, AR 71953",Arkansas,Polk,34.585,-94.2423,1
Life Connections Pregnancy Resource & Referral,"7875 E Florentine Rd Prescott Valley, AZ 86314",Arizona,Yavapai,34.5876,-112.328,1
Cleveland Care Center,"105 N Main St
Cleveland, GA 30528",Georgia,White,34.5983,-83.7639,2
Pregnancy Resource Center of Southwest Oklahoma,"319 SW C Ave Lawton, OK 73501",Oklahoma,Comanche,34.6055,-98.3929,2
Pregnancy Test Center,"822 Scott St Senatobia, MS 38668",Mississippi,Tate,34.6074,-89.9531,2
Birthright of Lawton,"5108 W Gore Blvd, Ste 7
Lawton, OK 73505",Oklahoma,Comanche,34.6084,-98.456,2
Pregnancy & Parenting Support Center,"1137 N H St, Ste K 
Lompoc, CA 93436",California,Santa Barbara,34.6565,-120.459,1
Life Services at Pathways,"1721 N Main, Ste 2
Altus, OK 73521",Oklahoma,Jackson,34.6576,-99.3345,2
Turning Point Pregnancy Center,"510 Harley St Scottsboro, AL 35768",Alabama,Jackson,34.6636,-86.0468,2
Foothills Care Center,"207 Main St
Seneca, SC 29678",South Carolina,Oconee,34.6852,-82.9528,2
Foothills Care Center,"107 Wall St, #2
Clemson, SC 29631",South Carolina,Pickens,34.6903,-82.8356,2
Safe Choice Pregnancy Care Center,"220 Sailors Dr
Ellijay, GA 30540",Georgia,Gilmer,34.6917,-84.4809,2
Care Net Women's Resource Center of North County,"44733 10th St W
Lancaster, CA 93534",California,Los Angeles,34.6963,-118.148,2
Women's Enrichment Center,"720 S Main St
Lancaster, SC 29720",South Carolina,Lancaster,34.7113,-80.766,2
Union County Pregnancy Center,"115 E Main St
Union, SC 29379",South Carolina,Union,34.7154,-81.6232,1
Hunstville Pregnancy Resource Center,"220 Rands Ave SE Huntsville, AL 35801",Alabama,Madison,34.7222,-86.5773,2
Coastal Pregnancy Care Center,"4050 Arendell St Morehead City, NC 28557",North Carolina,Cateret,34.727,-76.7675,1
My Choices Pregnancy Help Clinic,"109 Bails Rd
Ripley, MS 38663",Mississippi,Tippah,34.7374,-88.9572,2
House of Ruth Pregnancy Care Center,"1198 E Mingus Ave Cottonwood, AZ 86326",Arizona,Yavapai,34.7398,-112.014,2
Planed Parenthood- Little Rock Health Center*,5921 W 12th Street,Arkansas,Pulaski,34.7413,-92.3406,3
Little Rock Family Planning***,4 Office Park Dr,Arkansas,Pulaski,34.7462,-92.3975,3
Arkansas Pregnancy Resource Center,"2 Office Park Dr Little Rock, AR 72211",Arkansas,Pulaski,34.7465,-92.3974,2
Life Pregnancy Resource Center,"448 AZ-89, Ste C Chino Yalley, AZ 86323",Arizona,Yavapai,34.7522,-112.455,1
Alabama Women's Center,4831 Sparkman Dr NW,Alabama,Madison,34.7577,-86.6369,3
Planned Parenthood- Fairview Heights Health Center,Lakeland Square,Illinois,St. Clair,38.6003,-89.9818,4
Planned Parenthood- Redwood City Health Center,2907 El Camino Real,California,San Mateo,37.4692,-122.2113,4
Planned Parenthood- Wichita Health Center*,2226 E Central,Kansas,Sedgwick,37.6938,-97.3095,4
Hope Medical Group For Women***,210 Kings Hwy,Louisiana,Caddo,32.482,-93.7343,3
Maine Family Planning- Rockland Center,22 White St1,Maine,Knox,44.0884,-69.1457,4
Planned Parenthood- Gaithersburg Health Center,19650 Clubhouse Road,Maryland,Montgomery,39.1736,-77.2068,4
Reproductive Health Services- Prince George Abortion Clinic,7411 Riggs Rd,Maryland,Prince George's,38.9826,-76.9783,4
Femi-Care Surgery Center,66 Painters Mill Rd,Maryland,Baltimore,39.4168,-76.6153,4
Four Women Health Services,150 Emory St,Massachusetts,Bristol,41.9426,-71.2699,4
Planned Parenthood- Marquette Health Center,1219 N. Third St.,Michigan,Marquette,46.5554,-87.3951,4
Safe and Sound for Women***,3131 La Canada Street,Nevada,Clark,36.0819,-115.2432,4
Equality Health Center***,38 S Main S,New Hampshire,Merrimack,43.2018,-71.535,4
Planned Parenthood- East Orange Health Center,560 Dr. Martin Luther King Blvd,New Jersey,Essex,40.7681,-74.2188,4
Planned Parenthood- The College of NJ Health Center,2000 Pennington Road,New Jersey,Mercer,40.2692,-74.7766,4
Planned Parenthood- Flemington Health Center,349 Rt 31 South Countryside Plaza,New Jersey,Hunterdon,40.5437,-74.8584,4
Planned Parenthood- Hamilton Health Center,2279 State Highway 33,New Jersey,Mercer,40.221,-74.6372,4
American Women's Services- Phillipsburg*,157 S Main St,New Jersey,Warren,40.6889,-75.1993,4
Planned Parenthood- Shrewsbury Health Center,69 East Newman Springs Road,New Jersey,Monmouth,40.3378,-74.0665,4
Planned Parenthood- Spotswood,12 Snowhill St,New Jersey,Middlesex,40.3918,-74.3916,4
Planned Parenthood- Surgical Center***,701 San Mateo NE,New Mexico,Bernalillo,35.0838,-106.5866,4
Planned Parenthood- Sante Fe*,730 St. Michael's Drive,New Mexico,Sante Fe,35.6588,-105.9613,4
Roosevelt Women's Medical Care PC,78-13 Roosevelt Ave,New York,Queens,40.7475,-73.887,4
Planned Parenthood- Johnston Center,400 North Perry Street,New York,Fulton,40.3159,-78.9148,4
Planned Parenthood- Poughkeepsie Health Center,17 Noxon Street,New York,Dutchess,41.7014,-73.929,4
Planned Parenthood- West Seneca Health Center,Wimbledon Plaza 240 Center Road,New York,Erie,42.8404,-78.7732,4
Red River Women's Clinic***,512 First Avenue North,North Dakota,Cass,46.8768,-96.7869,3
Planned Parenthood- Allentown Health Center,29 North Ninth Street,Pennsylvania,Lehigh,40.6022,-75.4756,4
Delaware County Women's Center,1 Medical Center Blvd.,Pennsylvania,Delaware,39.8548,-75.3714,4
Planned Parenthood- Harrisburg Health Center,1514 North Second Street,Pennsylvania,Dauphin,40.271,-76.8934,4
Planned Parenthood- Reading Health Center,48 South Fourth Street,Pennsylvania,Berks,40.3643,-75.9201,4
Planned Parenthood- Columbia Health Center***,2712 Middleburg Dr,South Carolina,Richland,34.0153,-81.003,3
Knoxville Center for Reproductive Health***,1547 W Clinch Ave,Tennessee,Knox,35.9593,-83.9311,3
Planned Parenthood- Nashville Health Center***,412 Dr. D.B. Todd,Tennessee,Davidson,36.159,-86.8004,3
Austin Women's Health Center,1902 S IH 35 Frontage Rd,Texas,Travis,30.2392,-97.7389,3
Whole Women's Health of San Antonio,4025 E Southcross Bldg,Texas,Bexar,29.3749,-98.4148,3
Wasatch Women's Center***,715 E 3900 S,Utah,Salt Lake,40.6873,-111.8709,3
Whole Women's Health of Charlottesville***,2321 Commonwealth Drive,Virginia,Albemarle,38.0737,-78.4878,4
A Capital Women's Health***,1511 Starling Dr,Virginia,Richmond,37.6052,-77.5683,4
Planned Parenthood- Roanoke Health Center***,2207 Peters Creek Road,Virginia,Roanoke,37.3117,-80.0058,4
Planned Parenthood- Shelton Health Center,2505 Olympic Hwy N,Washington,King,47.2261,-123.1253,4
Women's Health Care Center at UWMC- Roosevelt,4245 Roosevelt Way NE,Washington,King,47.6588,-122.3182,4
Cedar River Clinics- Tacoma,1401 M.L.K. Jr Way,Washington,Pierce,47.2488,-122.4505,4
Planned Parenthood- Walla Walla Health Center,828 S. First Ave.,Washington,Walla Walla,46.063,-118.341,4
Emerg-A-Care of Jackson Hole,455 W Broadway,Wyoming,Teton,43.4797,-110.7696,3
Birthright of Little Rock,"804 N University Ave
Little Rock, AR 72205",Arkansas,Pulaski,34.7587,-92.3414,1
Women's Enrichment Center,"109 W Gordon St
Dalton, GA 30720",Georgia,Whitfield,34.7705,-84.9685,2
House of Hope Pregnancy Care Center,"509 E 12th St Ada, OK 74820",Oklahoma,Pontotoc,34.7734,-96.6717,2
Caring Hearts Pregnancy Center,"2003 Fendley Dr
North Little Rock, AR 72114",Arkansas,Pulaski,34.7799,-92.2863,2
Onslow Pregnancy Resource Center,"3280-A Henderson Dr Jacksonville, NC 28546",North Carolina,Onslow,34.791,-77.4177,2
Women's Resource Center,"727-D W Market St Athens, AL 35611",Alabama,Limestone,34.8033,-86.9811,2
Care Net Pregnancy Centers of Albuquerque,"601 Main St, Ste 26
Los Lunas, NM 87031",New Mexico,Valencia,34.8052,-106.729,2
Greenville Women's Center***,1142 Grove Rd,South Carolina,Greenville,34.8083,-82.4212,3
Piedmont Women's Center Pregnancy Medical Clinic,"1143 Grove Rd
Greenville, SC 29605",South Carolina,Greenville,34.8084,-82.4206,2
The Vine Pregnancy Center,"3105 Mt Pinos Way 
Frazier Park, CA 93225",California,Kern,34.8208,-118.938,1
Shoals Women's Clinic,"2201 Cloyd Blvd 
Florence, AL 35630",Alabama,Lauderdale,34.8366,-87.6457,2
Hope Women's Center,"879 Gentry Memorial Hwy
Easley, SC 29641",South Carolina,Pickens,34.8419,-82.6433,2
Birthright of Greenville,"21 Ellison St
Greenville, SC 29607",South Carolina,Greenville,34.8442,-82.366,2
Women's Enrichment Center,"218 Jones St
Blairsville, GA 30514",Georgia,Union,34.8701,-83.9593,2
Pregnancy Crisis Test Center,"32 W Brunswick St
Byhalia, MS 38611",Mississippi,Marshall,34.8718,-89.6883,2
Havelock Pregnancy Resource Center,"302 E Main St, Ste H
Havelock, NC 28532",North Carolina,Craven,34.8755,-76.9042,2
HER HOPE Pregnancy Center,"130 Tammen Dr, Apt 3
Blue Ridge, GA 30513",Georgia,Fannin,34.8825,-84.2911,1
GMPC Medical,"136 Hospital Dr, Ste A
Blairsville, GA 30512",Georgia,Union,34.885,-83.9604,2
Options Pregnancy Center,"1409 Madden Rd Jacksonville, AR 72076",Arkansas,Lonoke,34.8885,-92.0939,2
Barstow Pregnancy Center,"521 E Williams St
Barstow, CA 92311",California,San Bernardino,34.8978,-117.022,1
Compassion Pregnancy Center,"1303 S 2nd St
McAlester, OK 74501",Oklahoma,Chickasha,34.9184,-95.7711,2
Oasis Medical Center,"2421 Proper St
Corinth, MS 38834",Mississippi,Alcorn,34.9311,-88.4966,2
Palmetto Women's Center,"828 Lucas St
Rock Hill, SC 29730",South Carolina,York,34.936,-81.0201,2
PD Pregnancy Resource Center,"202 S Lawrence St Rockingham, NC 28379",North Carolina,Richmond,34.9383,-79.7726,1
Piedmont Women's Center,"100 Collins Dr
Greer, SC 29615",South Carolina,Greenville,34.9464,-82.2141,2
HOPE Pregnancy Resource Center,"101 Moore's Lake Rd Wadesboro, NC 28170",North Carolina,Anson,34.9501,-80.0646,2
Care Net Pregnancy & Resource Center Santa Maria,"201 S Miller Ste 101
Santa Maria, CA 93454",California,Santa Barbara,34.9518,-120.432,2
Planned Parenthood- Santa Maria Health Center,415 E Chapel St,California,Santa Barbara,34.9544,-120.4312,4
Options Pregnancy Center,"401 S 2nd St Cabot, AR 72023",Arkansas,Lonoke,34.9713,-92.0195,2
Carolina Pregnancy Center,"103 Metro Dr
Spartanburg, SC 29303",South Carolina,Spartanburg,34.9775,-81.9497,2
CareNet Pregnancy Center,"1712 2nd Ave
Canyon, TX 79015",Texas,Randall,34.9818,-101.925,2
CARE Center,"1277 Main St
Southaven, MS 38671",Mississippi,De Sota,34.9911,-90.0127,2
Care Net Pregnancy Centers of Albuquerque,"809 1st St, Ste A
Moriarty, NM 87035",New Mexico,Torrance,34.9963,-106.046,2
Abundant Life Pregnancy Resource Center,"123 Holden
Bigelow, AR 72016",Arkansas,Perry,35.0008,-92.6302,2
HELP Pregnancy Center,"480 HELP St
Monroe, NC 28110",North Carolina,Union,35.0014,-80.5548,2
Catholic Charities of East Tennessee,"5720 Uptain Rd, Ste 4200
Chattanooga, TN 37411",Tennessee,Hamilton,35.0094,-85.2102,2
Pregnancy Resource Center of Stanly County,"731 W Main St
Albemarle, NC 28001",North Carolina,Stanly,35.0233,-78.8954,2
A Hallmark Women's Clinic***,1919 Gillespie St,North Carolina,Cumberland,35.0237,-78.8945,4
Choices,"6232 Vance Rd
Chattanooga, TN 37421",Tennessee,Hamilton,35.0317,-85.1867,2
Agape Pregnancy Support Services,"710 E Russell St Fayetteville, NC 28301",North Carolina,Cumberland,35.0454,-78.8648,2
Birthright of Memphis,"6075 Winchester Rd
Memphis, TN 38115",Tennessee,Shelby,35.0484,-89.861,1
Life Choices Chickasha,"1201 W Choctaw Ave Chickasha, OK 73018",Oklahoma,Grady,35.052,-97.9486,2
UNM Center for Reproductive Health*** ,2301 Yale Blvd. SE,New Mexico,Bernalillo,35.0563,-106.6221,4
Cherokee Pregnancy Center Options Medical,"1719 Old Georgia Hwy
Gaffney, SC 29341",South Carolina,Cherokee,35.0599,-81.6744,2
Life Choices,"1330 S Donaghey Conway, AR 72034",Arkansas,Faulkner,35.0614,-92.4543,2
Options Pregnancy Center,"1701 W Center St Beebe, AR 72012",Arkansas,White,35.0681,-91.9009,2
AAA Crisis Pregnancy Center,"1337 Ramsey St
Fayetteville, NC 28301",North Carolina,Cumberland,35.0769,-78.8817,2
Planned Parenthood- Fayetteville Health Center***,4551 Yadkin Rd,North Carolina,Cumberland,35.0796,-78.9586,4
Choices Pregnancy Center,"106 Flanagan St, Ste B  Poteau, OK 74593",Oklahoma,Le Flore,35.0801,-94.6292,2
Your Choice Pregnancy Clinic,"4760 Yadkin Rd Fayetteville, NC 28303",North Carolina,Cumberland,35.0811,-78.9619,2
Women's Pregnancy Options,"729 San Mateo Blvd NE
Albuquerque, NM 87108",New Mexico,Bernalillo,35.0848,-106.587,2
Southwestern Women's Options***,522 Lomas Blvd NE,New Mexico,Bernalillo,35.0899,-106.639,4
Pregnancy & Parenting Center,"128 Tennessee St
Murphy, NC 28906",North Carolina,Cherokee,35.0899,-84.0356,1
Eastern Pregnancy Information Clinic,"1505 S Glenburnie Rd, Ste O
New Bern, NC 28562",North Carolina,Craven,35.1149,-77.094,2
Birthright of Albuquerque,"3228 Candelaria NE
Albuquerque, NM 87107",New Mexico,Bernalillo,35.1161,-106.609,1
Care Net Pregnancy Centers of Albuquerque,"9809 Candelariea NE, Ste 1-A
Albuquerque, NM 87112",New Mexico,Bernalillo,35.1166,-106.531,2
Lifeline Pregnancy Center,"1447 W Grande Ave
Grover Beach, CA 93433",California,San Luis Obispo,35.1214,-120.613,1
Family Reproductive Health***,700 E Hebron St,North Carolina,Mecklenburg,35.1274,-80.8853,4
Birthright of Memphis,"115 Alexander St
Memphis, TN 38111",Tennessee,Shelby,35.1286,-89.951,2
Family Life Pregnancy Center,"112 S Curry St
Tehachapi, CA 93561",California,Kern,35.1317,-118.449,2
Crossroads Pregnancy Clinic,"1237 Huntsville Hwy, Ste E
Fayetteville, TN 37334",Tennessee,Lincoln,35.1323,-86.5682,2
Choices- Memphis Center for Reproductive Health***,29 S Bellevue Blvd,Tennessee,Shelby,35.139,-90.021,3
Planned Parenthood- Memphis Health Center***,2430 Poplar Avenue,Tennessee,Shelby,35.1397,-89.9797,3
Life Choices of Memphis,"2400 Poplar Ave, Ste 500
Memphis, TN 38112",Tennessee,Shelby,35.14,-89.9805,2
The Cottage,"307 S Seneca Ave
Bartlesville, OK 74003",Oklahoma,Washington,35.1418,-97.6168,2
Hope of the Delta,"228 W Tyler, Ste 304
West Memphis, AR 72301",Arkansas,Crittenden,35.144,-90.1886,2
